GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appointment-common,com.appointment.enums,ErrorsMessages,0,63,0,0,0,12,0,3,0,3
appointment-common,com.appointment.enums,Status,0,21,0,0,0,4,0,1,0,1
appointment-common,com.appointment.adapters.out.persistence.entity,AppointmentEntity,3,81,0,0,1,24,1,4,1,4
appointment-common,com.appointment.adapters.out.persistence,AppointmentRepositoryPortImpl,0,86,0,4,0,17,0,11,0,9
appointment-common,com.appointment.frameworks.config,AppointmentKafkaProperties.Dlt,23,0,0,0,9,0,5,0,5,0
appointment-common,com.appointment.frameworks.config,AppointmentKafkaProperties.Retry,23,0,0,0,9,0,5,0,5,0
appointment-common,com.appointment.frameworks.config,AppointmentKafkaProperties,37,0,0,0,13,0,7,0,7,0
appointment-common,com.appointment.entities.exceptions,AppointmentCancellationObservationRequiredException,0,4,0,0,0,2,0,1,0,1
appointment-common,com.appointment.entities.exceptions,AppointmentAlreadyCanceledException,0,4,0,0,0,2,0,1,0,1
appointment-common,com.appointment.frameworks.exceptions,AppointmentConflictException,0,4,0,0,0,2,0,1,0,1
appointment-common,com.appointment.entities,Appointment,0,104,0,8,0,11,0,7,0,3
